A- 	not, without
Manifold	many and various.
Manifold	having various forms, parts, applications, etc.
Manifold	manifold thing.
Manifold	pipe or chamber branching into several openings.
Manikin	Little man; dwarf.
Manila	strong fibre of a kind of tree native to the philippines.
Manila	strong brown paper made from this.
Man in the street	Ordinary person.
Manipulate	handle, esp. With skill.
Manipulate	manage
Manipulate	To one's own advantage, esp. Unfairly.
Manipulate	move
Manipulate	by hand in order to increase flexion etc.
Manipulate	computing edit or move
Manipulate	Manipulation
Manipulate	Manipulator
Manipulative	Tending to exploit a situation, person, etc., for one's own ends.
Mankind	human species.
Mankind	male people.
Manky	bad, inferior, defective.
Manky	dirty.
Manly	having qualities associated with a man
Manly	befitting a man.
Man-made	artificial, synthetic.
Manna	substance miraculously supplied as food to the israelites in the wilderness (exod.
Manna	unexpected benefit
Manned	Having a human crew.
Mannequin	fashion model.
Mannequin	window dummy.
Manner	way a thing is done or happens.
Manner	(in
Manner	social behaviour
Manner	polite behaviour
Manner	modes of life; social conditions.
Manner	outward bearing, way of speaking, etc.
Manner	style
Manner	kind, sort
Manner	Naturally at ease in a particular situation etc.
Mannered	(in
Mannered	) Having specified manners
Mannered	esp. Art full of mannerisms.
Mannerism	habitual gesture or way of speaking etc.
Mannerism	a stylistic trick in art etc.
Mannerism	excessive use of these.
Mannerly	Well-mannered, polite.
Mannish	masculine in appearance or manner.
Mannish	characteristic of a man.
Manoeuvre	planned and controlled movement of a vehicle or body of troops etc.
Manoeuvre	(in
Manoeuvre	) Large-scale exercise of troops, ships, etc.
Manoeuvre	agile or skilful movement.
Manoeuvre	artful plan.
Manoeuvre	move (a thing, esp.
Manoeuvre	vehicle) carefully.
Manoeuvre	perform or cause
Manoeuvre	To perform manoeuvres.
Manoeuvre	Manipulate
Manoeuvre	By scheming or adroitness.
Manoeuvre	use artifice.
Manoeuvre	Manoeuvrability
Man of letters	Scholar or author.
Man-of-war	warship.
Manor	large country house with lands.
Manor	hist. Feudal lordship over lands.
Manor	district covered by a police station.
Manpower	Number of people available for work, service, etc.
Manqué	that might have been but is not
Mansard	Roof with four sloping sides, each of which becomes steeper halfway down.
Manse	Ecclesiastical residence, esp.
Manse	scottish presbyterian minister's house.
Manservant	male servant.
Mansion	large grand house.
Mansion	(in
Mansion	) Large building divided into flats.
Manslaughter	Unintentional but not accidental unlawful killing of a human being.
Mantel	Mantelpiece or mantelshelf.
Mantelpiece	structure of wood, marble, etc. Above and around a fireplace.
Mantelshelf	Shelf above a fireplace.
Mantilla	Lace scarf worn by spanish women over the hair and shoulders.
Mantis	predatory insect that holds its forelegs like hands folded in prayer.
Mantissa	Part of a logarithm after the decimal point.
Mantle	loose sleeveless cloak.
Mantle	covering
Mantle	fragile lacelike tube fixed round a gas-jet to give an incandescent light.
Mantle	region between the crust and the core of the earth.
Mantle	clothe; conceal, envelop.
Man to man	Candidly.
Mantra	hindu or buddhist devotional incantation.
Mantra	vedic hymn.
Mantrap	Trap for catching trespassers etc.
Manual	of or done with the hands
Manual	a worked by hand, not automatically
Manual	worked by manual gear-change.
Manual	reference book.
Manual	organ keyboard played with the hands, not the feet.
Manual	Vehicle with manual transmission.
Manufacture	making of articles, esp. In a factory etc.
Manufacture	branch of industry
Manufacture	make
Manufacture	, esp. On an industrial scale.
Manufacture	invent or fabricate
Manure	Fertilizer, esp. Dung.
Manure	apply manure to
Manuscript	text written by hand.
Manuscript	author's handwritten or typed text.
Manuscript	handwritten form
Manuscript	Written by hand.
Manx	Of the isle of man.
Manx	former celtic language of the isle of man.
Manx	(prec. By the; treated as
Manx	) Manx people.
Manx cat	Tailless variety of cat.
Many	great in number; numerous
Many	(as
Many	many people or things.
Many	the majority of people.
Maoism	Communist doctrines of mao zedong.
Maori	member of the aboriginal people of new zealand.
Maori	their language.
Maori	Of this people.
Map	a flat representation of the earth's surface, or part of it.
Map	diagram of a route etc.
Map	similar representation of the stars, sky, moon, etc.
Map	diagram showing the arrangement or components of a thing.
Map	represent on a map.
Map	math. Associate each element of
Map	with one element of another set.
Maple	any of various trees or shrubs grown for shade, ornament, wood, or sugar.
Maple	its wood.
Maple-leaf	Emblem of canada.
Maple sugar	Sugar produced by evaporating the sap of some kinds of maple.
Maple syrup	Syrup made by evaporating maple sap or dissolving maple sugar.
Maquette	Preliminary model or sketch.
Maquis	french resistance movement during the german occupation
Maquis	member of this.
Mar.	March.
Mar	spoil; disfigure.
Marabou	large w. African stork.
Marabou	its down as trimming etc.
Maraca	Clublike bean-filled gourd etc., shaken rhythmically in pairs in latin american music.
Maraschino	sweet liqueur made from black cherries.
Maraschino cherry	Cherry preserved in maraschino and used in cocktails etc.
Marathon	long-distance running race, usu. Of
Marathon	6 miles
Marathon	85 yards
Marathon	long-lasting or difficult undertaking etc.
Maraud	make a plundering raid
Maraud	pilfer systematically.
Marble	crystalline limestone capable of taking a polish, used in sculpture and architecture.
Marble	(often
Marble	anything of marble
Marble	anything like marble in hardness, coldness, etc.
Marble	a small, esp. Glass, ball as a toy.
Marble	; treated as sing.) Game using these.
Marble	(in
Marble	one's mental faculties
Marble	(in
Marble	) Collection of sculptures
Marble	(esp. As marbled
Marble	) Stain or colour
Marble	To look like variegated marble.
Marble	(as marbled
Marble	striped with fat and lean.
Marble cake	Mottled cake of light and dark sponge.
Marbling	colouring or marking like marble.
Marbling	streaks of fat in lean meat.
Marcasite	yellowish crystalline iron sulphide.
Marcasite	crystals of this used in jewellery.
March	Third month of the year.
March1	walk in a military manner with a regular tread
March1	a walk purposefully.
March1	Continue unrelentingly
March1	advance towards
March1	a act of marching.
March1	uniform military step
March1	long difficult walk.
March1	procession as a demonstration.
March1	progress or continuity
March1	a music to accompany a march.
March1	similar musical piece.
March2	Hist.
March2	(usu. In
March2	) Boundary, frontier
March2	tract of land between two countries, esp. Disputed.
March2	Border on.
March1	walk in a military manner with a regular tread
March1	a walk purposefully.
March1	Continue unrelentingly
March1	advance towards
March1	a act of marching.
March1	uniform military step
March1	long difficult walk.
March1	procession as a demonstration.
March1	progress or continuity
March1	a music to accompany a march.
March1	similar musical piece.
March2	Hist.
March2	(usu. In
March2	) Boundary, frontier
March2	tract of land between two countries, esp. Disputed.
March2	Border on.
March hare	Hare exuberant in the breeding season
Marching orders	order for troops to mobilize etc.
Marching orders	dismissal
Marchioness	wife or widow of a marquess.
Marchioness	woman holding the rank of marquess.
March past	Marching of troops past a saluting-point at a review.
March past	carry out a march past.
Mardi gras	a shrove tuesday in some catholic countries.
Mardi gras	merrymaking on this day.
Mardi gras	last day of a carnival etc.
Mare1	Female equine animal, esp.
Mare1	horse.
Mare2	large dark flat area on the moon, once thought to be sea.
Mare2	similar area on mars.
Mare's nest	Illusory discovery.
Mare's tail	tall slender marsh plant.
Mare's tail	(in
Mare's tail	) Long straight streaks of cirrus cloud.
Margarine	Butter-substitute made from vegetable oils or animal fats with milk etc.
Marge	Margarine.
Margin	edge or border of a surface.
Margin	blank border flanking print etc.
Margin	amount by which a thing exceeds, falls short, etc.
Margin	lower limit
Margin	provide with a margin or marginal notes.
Marginal	of or written in a margin.
Marginal	a of or at the edge.
Marginal	insignificant
Marginal	Held by a small majority.
Marginal	close to the limit, esp. Of profitability.
Marginal	difficult to cultivate; unprofitable.
Marginal	barely adequate.
Marginal cost	Cost added by making one extra copy etc.
Marginalia	pl. Marginal notes.
Marginalize	make or treat as insignificant.
Margin of error	Allowance for miscalculation etc.
Marguerite	Ox-eye daisy.
Maria	Of *mare2.
Marigold	Plant with golden or bright yellow flowers.
Marijuana	dried leaves etc. Of hemp, smoked in cigarettes as a drug.
Marimba	xylophone played by natives of africa and central america.
Marimba	modern orchestral instrument derived from this.
Marina	Harbour for pleasure-yachts etc.
Marinade	mixture of wine, vinegar, oil, spices, etc., for soaking meat, fish, etc. Before cooking.
Marinade	meat, fish, etc., so soaked.
Marinade	soak in a marinade.
Marine	of, found in, or produced by the sea.
Marine	a of shipping or naval matters
Marine	for use at sea.
Marine	soldier trained to serve on land or sea.
Marine	country's shipping, fleet, or navy
Mariner	Seaman.
Marionette	Puppet worked by strings.
Marital	Of marriage or marriage relations.
Maritime	connected with the sea or seafaring
Maritime	living or found near the sea.
Marjoram	Aromatic herb used in cookery.
Mark1	spot, sign, stain, scar, etc., on a surface etc.
Mark1	(esp. In
Mark1	written or printed symbol
Mark1	number or letter denoting proficiency, conduct, etc. (black mark;
Mark1	6 marks out of
Mark1	sign of quality, character, feeling, etc.
Mark1	a sign, seal, etc., of identification.
Mark1	cross etc. Made as a signature by an illiterate person.
Mark1	lasting effect
Mark1	a target etc.
Mark1	standard, norm
Mark1	line etc. Indicating a position.
Mark1	particular design, model, etc., of a car, aircraft, etc. (mark
Mark1	ford granada).
Mark1	runner's starting-point in a race.
Mark1	a make a mark on.
Mark1	mark with initials, name, etc. To identify etc.
Mark1	correct and assess
Mark1	attach a price to
Mark1	notice or observe
Mark1	a characterize
Mark1	acknowledge, celebrate
Mark1	name or indicate on a map etc.
Mark1	keep close to
Mark1	to hinder him.
Mark1	(as marked
Mark1	) Have natural marks
Mark1	irrelevant.
Mark1	not accurate. Make one's mark attain distinction; make an impression. One's mark
Mark1	Opponent, object, etc., of one's own size etc.
Mark1	. Mark down
Mark1	reduce the price of
Mark1	make a written note of.
Mark1	reduce the examination marks of. Mark off separate by a boundary etc. Mark out
Mark1	plan
Mark1	destine
Mark1	trace out
Mark1	. Mark time
Mark1	march on the spot without moving forward.
Mark1	act routinely while awaiting an opportunity to advance. Mark up
Mark1	add a proportion to the price of
Mark1	For profit.
Mark1	mark or correct
Mark1	. Off the mark
Mark1	having made a start.
Mark1	= beside the mark. On the mark ready to start. On your mark
Mark1	get ready to start (esp.
Mark1	race). Up to the mark normal
Mark-down	Reduction in price.
Marked	having a visible mark.
Marked	clearly noticeable
Marked	marked on their backs to assist cheating.
Marked man	Person singled out, esp. For attack.
Marker	thing marking a position etc.
Marker	person or thing that marks.
Marker	broad-tipped felt-tipped pen.
Marker	scorer in a game.
Market	gathering of buyers and sellers of provisions, livestock, etc.
Market	space for this.
Market	demand for a commodity etc.
Market	place or group providing such a demand.
Market	conditions etc. For buying or selling; rate of purchase and sale
Market	offer for sale, esp. By advertising etc.
Market	buy or sell goods in a market.
Market	Marketing
Marketable	Able or fit to be sold.
Market-day	Day on which a market is regularly held.
Marketeer	supporter of the ec and british membership of it.
Marketeer	marketer.
Market garden	Farm where vegetables and fruit are grown for sale in markets.
Market-place	open space for a market.
Market-place	commercial world.
Market price	Price in current dealings.
Market research	Surveying of consumers' needs and preferences.
Market town	Town where a market is held.
Market value	Value if offered for sale.
Marking	(usu. In
Marking	identification mark.
Marking	colouring of an animal's fur etc.
Marksman	Skilled shot, esp. With a pistol or rifle.
Mark-up	amount added to a price by the retailer for profit.
Mark-up	corrections in a text.
Marl	Soil of clay and lime, used as fertilizer.
Marl	Apply marl to.
Marlin	us long-nosed marine fish.
Marlinspike	Pointed iron tool used to separate strands of rope etc.
Marmalade	Preserve of citrus fruit, usu. Oranges.
Marmite	Propr. Thick brown spread made from yeast and vegetable extract.
